geo_name,geo_sumlevel,geo_id,total_reimbursements_b_2010,total_reimbursements_b_2011,total_reimbursements_b_2012,total_reimbursements_b_2013,total_reimbursements_b_2014
"Baldwin County, AL",county,05000US01003,9618,9569,9501,9489,9412
"Barbour County, AL",county,05000US01005,9761,10718,10413,10077,10117
"Bibb County, AL",county,05000US01007,11269,10780,10825,10674,10817
"Blount County, AL",county,05000US01009,10238,10508,10280,10092,10035
"Bullock County, AL",county,05000US01011,9567,8833,9975,9293,9275
"Butler County, AL",county,05000US01013,10612,11256,11377,10754,10407
"Calhoun County, AL",county,05000US01015,11551,11267,11404,11040,10672
"Chambers County, AL",county,05000US01017,9133,9332,8948,8961,8622
"Cherokee County, AL",county,05000US01019,10813,10602,10850,10078,10866
"Chilton County, AL",county,05000US01021,10632,10754,10167,10570,10204
"Choctaw County, AL",county,05000US01023,10079,9956,11908,12249,11424
"Clarke County, AL",county,05000US01025,10074,9711,9421,9573,9806
"Clay County, AL",county,05000US01027,10799,9599,9933,10274,9843
"Cleburne County, AL",county,05000US01029,10151,10492,11159,10475,10906
"Coffee County, AL",county,05000US01031,9246,9921,9329,9512,9510
"Colbert County, AL",county,05000US01033,10491,10684,10688,10500,10730
"Conecuh County, AL",county,05000US01035,11669,10849,11037,11064,11168
"Coosa County, AL",county,05000US01037,10470,9989,9815,10805,10457
"Covington County, AL",county,05000US01039,10976,10862,10625,10505,10405
"Crenshaw County, AL",county,05000US01041,9528,9696,10459,10045,10364
"Cullman County, AL",county,05000US01043,10559,10713,10210,10227,9915
"Dale County, AL",county,05000US01045,10397,10739,10429,10019,10290
"Dallas County, AL",county,05000US01047,9813,10217,9831,9833,10113
"DeKalb County, AL",county,05000US01049,10361,10153,10505,9944,9994
"Elmore County, AL",county,05000US01051,10227,9678,10302,10370,9625
"Escambia County, AL",county,05000US01053,11176,11193,10882,10548,11302
"Etowah County, AL",county,05000US01055,12023,12240,12060,11913,11889
"Fayette County, AL",county,05000US01057,9606,9977,9877,9444,10078
"Franklin County, AL",county,05000US01059,11066,11682,11627,11236,11381
"Geneva County, AL",county,05000US01061,10284,10826,10332,9679,10100
"Greene County, AL",county,05000US01063,8742,9086,9557,8886,9426
"Hale County, AL",county,05000US01065,9545,9684,9898,10597,10030
"Henry County, AL",county,05000US01067,9599,10013,9678,9551,10064
"Houston County, AL",county,05000US01069,9704,9839,10053,9708,9997
"Jackson County, AL",county,05000US01071,10921,10846,10568,10486,10611
"Jefferson County, AL",county,05000US01073,9391,9498,9420,9303,9495
"Lamar County, AL",county,05000US01075,11128,10900,10412,10056,9770
"Lauderdale County, AL",county,05000US01077,9189,9136,9308,9207,9360
"Lawrence County, AL",county,05000US01079,10773,10604,11092,10413,10175
"Lee County, AL",county,05000US01081,8208,8462,8413,8554,8562
"Limestone County, AL",county,05000US01083,9537,9944,9977,9740,10140
"Lowndes County, AL",county,05000US01085,9317,9746,9288,8581,9456
"Macon County, AL",county,05000US01087,7246,7719,8463,7607,7529
"Madison County, AL",county,05000US01089,9382,9474,9835,9808,9793
"Marengo County, AL",county,05000US01091,9040,8945,9347,9796,9727
"Marion County, AL",county,05000US01093,10672,10713,10849,10095,10669
"Marshall County, AL",county,05000US01095,11101,10731,11146,11209,10784
"Mobile County, AL",county,05000US01097,9867,10060,9985,9880,9859
"Monroe County, AL",county,05000US01099,9651,9562,9813,9005,9306
"Montgomery County, AL",county,05000US01101,9223,9124,9315,9048,9046
"Morgan County, AL",county,05000US01103,10319,10016,9986,10097,9990
"Perry County, AL",county,05000US01105,8757,9745,9962,8816,9072
"Pickens County, AL",county,05000US01107,10205,11284,9848,9736,9345
"Pike County, AL",county,05000US01109,10260,10634,10575,9676,9810
"Randolph County, AL",county,05000US01111,9729,9405,9102,9876,9804
"Russell County, AL",county,05000US01113,9492,9649,9678,9629,9619
"St. Clair County, AL",county,05000US01115,10393,10360,10854,10283,10550
"Shelby County, AL",county,05000US01117,10352,10475,10274,10020,9865
"Sumter County, AL",county,05000US01119,9890,9283,10725,9856,9309
"Talladega County, AL",county,05000US01121,10760,10620,10538,10385,10555
"Tallapoosa County, AL",county,05000US01123,10232,10082,10910,10728,10392
"Tuscaloosa County, AL",county,05000US01125,10619,10277,10256,9752,10028
"Walker County, AL",county,05000US01127,11451,11189,11534,10674,10687
"Washington County, AL",county,05000US01129,10731,9454,11067,10910,10108
"Wilcox County, AL",county,05000US01131,8290,9045,8682,8518,8401
"Winston County, AL",county,05000US01133,11531,11383,11474,11206,11564
"Aleutians East Borough, AK",county,05000US02013,4874,4465,5258,6428,4473
"Aleutians West Census Area, AK",county,05000US02016,3748,3413,4836,5018,9092
"Anchorage Municipality, AK",county,05000US02020,6697,6649,6581,6692,6830
"Bethel Census Area, AK",county,05000US02050,5160,5221,5316,5493,6529
"Bristol Bay Borough, AK",county,05000US02060,3850,4921,3972,4773,5427
"Denali Borough, AK",county,05000US02068,5532,7496,5532,4920,5487
"Dillingham Census Area, AK",county,05000US02070,5906,5741,7203,6926,6212
"Fairbanks North Star Borough, AK",county,05000US02090,6613,6659,6378,6374,6165
"Haines Borough, AK",county,05000US02100,8346,8271,6270,5331,6134
"Hoonah-Angoon Census Area, AK",county,05000US02105,7529,6581,5359,6862,5314
"Juneau City and Borough, AK",county,05000US02110,6388,6892,6463,6481,6744
"Kenai Peninsula Borough, AK",county,05000US02122,7246,7809,7129,7354,7478
"Ketchikan Gateway Borough, AK",county,05000US02130,8291,8917,7967,7576,7805
"Kodiak Island Borough, AK",county,05000US02150,7559,7181,7248,7997,8790
"Lake and Peninsula Borough, AK",county,05000US02164,4976,6225,5153,5404,8840
"Matanuska-Susitna Borough, AK",county,05000US02170,7155,7003,6593,6991,7027
"Nome Census Area, AK",county,05000US02180,5963,7181,8057,8258,9177
"North Slope Borough, AK",county,05000US02185,8898,6552,6928,6382,7570
"Northwest Arctic Borough, AK",county,05000US02188,12570,10259,10770,6945,7474
"Petersburg Census Area, AK",county,05000US02195,9175,9477,9101,8655,8452
"Prince of Wales-Hyder Census Area, AK",county,05000US02198,7840,5750,7002,6589,6491
"Sitka City and Borough, AK",county,05000US02220,10743,8753,8988,9081,9492
"Skagway Municipality, AK",county,05000US02230,7153,6457,4070,5507,4719
"Southeast Fairbanks Census Area, AK",county,05000US02240,5488,6371,5454,5742,6692
"Valdez-Cordova Census Area, AK",county,05000US02261,8119,8119,6526,7169,6547
"Wade Hampton Census Area, AK",county,05000US02270,6509,6680,5048,8568,6964
"Wrangell City and Borough, AK",county,05000US02275,11469,9778,10100,12239,9702
"Yakutat City and Borough, AK",county,05000US02282,4716,9329,7510,4684,7686
"Yukon-Koyukuk Census Area, AK",county,05000US02290,4265,6280,6248,6857,4999
"Apache County, AZ",county,05000US04001,7900,8362,8097,8073,8009
"Cochise County, AZ",county,05000US04003,8531,8491,8220,7960,8303
"Coconino County, AZ",county,05000US04005,7901,7615,7739,7884,7950
"Gila County, AZ",county,05000US04007,9865,9950,9917,9458,9404
"Graham County, AZ",county,05000US04009,8507,7906,7559,6990,7312
"Greenlee County, AZ",county,05000US04011,8730,8818,8495,6768,6523
"La Paz County, AZ",county,05000US04012,9326,8899,9483,8488,9005
"Maricopa County, AZ",county,05000US04013,9745,9829,9817,9566,9472
"Mohave County, AZ",county,05000US04015,8944,9115,8791,8677,9022
"Navajo County, AZ",county,05000US04017,7771,8182,7980,8107,8352
"Pima County, AZ",county,05000US04019,8453,8462,8580,8138,8283
